date,price
Jan 2010,1130.2
Feb 2010,1106.73
Mar 2010,1147.39
Apr 2010,1076.92
May 2010,1067.14
Jun 2010,989.82
Jul 2010,911.62
Aug 2010,916.07
Sep 2010,815.28
Oct 2010,885.76
Nov 2010,936.31
Dec 2010,879.82
Jan 2011,855.7
Feb 2011,841.15
Mar 2011,848.18
Apr 2011,916.92
May 2011,963.59
Jun 2011,974.5
Jul 2011,990.31
Aug 2011,1008.01
Sep 2011,995.97
Oct 2011,1050.71
Nov 2011,1058.2
Dec 2011,1111.92
Jan 2012,1131.13
Feb 2012,1144.94
Mar 2012,1126.21
Apr 2012,1107.3
May 2012,1120.68
Jun 2012,1140.84
Jul 2012,1101.72
Aug 2012,1104.24
Sep 2012,1114.58
Oct 2012,1130.2
Nov 2012,1173.82
Dec 2012,1211.92
Jan 2013,1181.27
Feb 2013,1203.6
Mar 2013,1180.59
Apr 2013,1156.85
May 2013,1191.5
Jun 2013,1191.33
Jul 2013,1234.18
Aug 2013,1220.33
Sep 2013,1228.81
Oct 2013,1207.01
Nov 2013,1249.48
Dec 2013,1248.29
Jan 2014,1280.08
Feb 2014,1280.66
Mar 2014,1294.87
Apr 2014,1310.61
May 2014,1270.09
Jun 2014,1270.2
Jul 2014,1276.66
Aug 2014,1303.82
Sep 2014,1335.85
Oct 2014,1377.94
Nov 2014,1400.63
Dec 2014,1418.3
Jan 2015,1438.24
Feb 2015,1406.82
Mar 2015,1420.86
Apr 2015,1482.37
May 2015,1530.62
Jun 2015,1503.35
Jul 2015,1455.27
Aug 2015,1473.99
Sep 2015,1526.75
Oct 2015,1549.38
Nov 2015,1481.14
Dec 2015,1468.36
Jan 2016,1378.55
Feb 2016,1330.63
Mar 2016,1322.7
Apr 2016,1385.59
May 2016,1400.38
Jun 2016,1280
Jul 2016,1267.38
Aug 2016,1282.83
Sep 2016,1166.36
Oct 2016,968.75
Nov 2016,896.24
Dec 2016,903.25
Jan 2017,825.88
Feb 2017,735.09
Mar 2017,797.87
Apr 2017,872.81
May 2017,919.14
Jun 2017,919.32
Jul 2017,987.48
Aug 2017,1020.62
Sep 2017,1057.08
Oct 2017,1036.19
Nov 2017,1095.63
Dec 2017,1115.1
Jan 2018,1073.87
Feb 2018,1104.49
Mar 2018,1140.45
